"evaluation_id","evaluator_study_id","evaluator_honesty_answer","idea_id","participant_study_id","bot_type","originality","usefulness","purchase_intent","evaluation_order","time_spent_seconds","rater_num"
679,"STUDY_812","yes",678,"STUDY_740","suggestion",3,4,1,16,18,1
1086,"STUDY_625","yes",678,"STUDY_740","suggestion",1,4,1,8,28,2
1765,"STUDY_245","yes",678,"STUDY_740","suggestion",6,7,4,1,24,3
3714,"STUDY_578","yes",678,"STUDY_740","suggestion",5,4,2,4,18,4
4266,"STUDY_160","yes",678,"STUDY_740","suggestion",5,6,2,4,20,5
5477,"STUDY_929","yes",678,"STUDY_740","suggestion",6,7,4,8,50,6
5686,"STUDY_481","yes",678,"STUDY_740","suggestion",6,6,4,17,16,7
5845,"STUDY_702","yes",678,"STUDY_740","suggestion",2,4,2,9,29,8
5935,"STUDY_753","yes",678,"STUDY_740","suggestion",5,6,3,15,18,9
6056,"STUDY_121","yes",678,"STUDY_740","suggestion",7,3,1,13,14,10
6352,"STUDY_466","yes",678,"STUDY_740","suggestion",4,4,1,18,15,11
292,"STUDY_355","yes",709,"STUDY_254","feedback",7,7,4,9,29,1
297,"STUDY_637","yes",709,"STUDY_254","feedback",3,4,1,20,16,2
1155,"STUDY_389","yes",709,"STUDY_254","feedback",6,6,3,18,24,3
1529,"STUDY_707","yes",709,"STUDY_254","feedback",3,2,1,7,20,4
2855,"STUDY_696","yes",709,"STUDY_254","feedback",7,1,1,18,40,5
4116,"STUDY_355","yes",709,"STUDY_254","feedback",5,1,1,20,25,6
4168,"STUDY_748","yes",709,"STUDY_254","feedback",5,4,3,9,16,7
5055,"STUDY_633","yes",709,"STUDY_254","feedback",5,3,1,1,34,8
5460,"STUDY_754","yes",709,"STUDY_254","feedback",7,2,1,10,18,9
6267,"STUDY_237","yes",709,"STUDY_254","feedback",6,6,5,18,21,10
426,"STUDY_365","yes",725,"STUDY_309","improvement",1,4,2,17,14,1
1995,"STUDY_620","yes",725,"STUDY_309","improvement",2,2,1,9,15,2
1998,"STUDY_808","yes",725,"STUDY_309","improvement",4,6,4,10,30,3
2909,"STUDY_363","yes",725,"STUDY_309","improvement",2,1,1,8,87,4
