"row_type","submission_id","study_id","bot_type","idea","questionnaire_completed","ac1","ac2","ai1","cse1","cse2","cse3","ee1","ee2","ee3","ee4","hm1","hm2","hm3","io1","io2","io3","io4","io5","mc1","pe1","pe2","pe3","pta1","pta2","pta3","pta4","pta5","ptt1","ptt2","ptt3","ptt4","ptt5","ptt6","tlx1","tlx2","honesty_question_answer","refined_idea","refined_idea_created_at","eval_count","eval_originality_avg","eval_usefulness_avg","eval_purchase_avg","total_study_time_seconds","ptt2_rev","Creative_Self_Efficacy","Perceived_Technology_Agency","NASA_TLX","Performance_Expectancy","Effort_Expectancy","Hedonic_Motivation","Propensity_to_Trust_Technology","Perceived_Ownership","originality_rater_1","originality_rater_2","originality_rater_3","originality_rater_4","originality_rater_5","originality_rater_6","originality_rater_7","originality_rater_8","originality_rater_9","originality_rater_10","originality_rater_11","originality_rater_12","originality_rater_13","usefulness_rater_1","usefulness_rater_2","usefulness_rater_3","usefulness_rater_4","usefulness_rater_5","usefulness_rater_6","usefulness_rater_7","usefulness_rater_8","usefulness_rater_9","usefulness_rater_10","usefulness_rater_11","usefulness_rater_12","usefulness_rater_13","purchase_intent_rater_1","purchase_intent_rater_2","purchase_intent_rater_3","purchase_intent_rater_4","purchase_intent_rater_5","purchase_intent_rater_6","purchase_intent_rater_7","purchase_intent_rater_8","purchase_intent_rater_9","purchase_intent_rater_10","purchase_intent_rater_11","purchase_intent_rater_12","purchase_intent_rater_13","originality_mean","usefulness_mean","purchase_intent_mean","rater_count","Submission.id","Time.taken","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","refined_div_allideas","refined_div_condition","idea_div_allideas","idea_div_condition","refined_div_to_initial_centroid","Idea_Quality","refined_div_allideas_logit","refined_div_condition_logit","idea_div_allideas_logit","idea_div_condition_logit"
"submission",728,"STUDY_651","suggestion","am emergency pack for when student loans run out","Yes",2,5,3,5,5,4,6,6,6,6,5,5,6,6,6,6,6,6,29,6,6,6,3,4,4,4,4,4,2,3,4,4,4,60,65,"no","An emergency pack for when student loans run out.
Using the reverse hamper idea, but students can buy it at the start of term with a date when they are able to collect it or unlock it. It is filled with basic food items as well as hygiene and study essentials. It can be adapted individually to their preferences.
It could be collected from student unions in the last few weeks of term.  Donation boxes could also be given from other students, the local community or parents.","2025-11-19T14:30:52.270872",0,NA,NA,NA,358,6,4.66666666666667,3.8,62.5,6,6,5.33333333333333,4.16666666666667,6,6,7,7,7,4,3,4,2,5,NA,NA,NA,NA,5,6,7,7,4,5,5,1,5,NA,NA,NA,NA,4,2,5,1,2,1,4,1,1,NA,NA,NA,NA,5,5,2.33333333333333,9,"691dd30671018dceef3b3f3a",518,"43","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.391754691797107,0.40411178430763,0.577772380076426,0.591841748366353,0.457925858085465,5,-0.439942410361374,-0.388361558391854,0.313635432688184,0.371584311347241
"submission",729,"STUDY_963","improvement","A bag with different interchangeable keyrings for looking for friends or study buddies etc","Yes",2,5,1,6,7,6,7,6,5,6,2,3,2,7,6,7,5,7,18,3,2,2,3,3,4,3,2,1,5,1,1,2,2,35,55,"no","A smart backpack with digital LED keyrings that display customizable icons—like “study buddy needed” or “join for lunch”—enabling students to signal their interests and connect instantly with peers on campus through a companion app. University can be a lonely place where it's difficult to make friends. This idea makes it easier to connect with others.","2025-11-19T14:29:10.955665",0,NA,NA,NA,399,3,6.33333333333333,3,45,2.33333333333333,6,2.33333333333333,1.66666666666667,6.4,6,4,5,5,1,6,6,7,6,NA,NA,NA,NA,6,5,3,2,1,3,6,7,4,NA,NA,NA,NA,4,1,1,1,1,1,4,5,1,NA,NA,NA,NA,5.11111111111111,4.11111111111111,2.11111111111111,9,"691dd2ee492775194fe377d6",610,"51","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0.289834620643124,0.295499885375844,0.39830057664446,0.410044967322884,0.403915293036829,4.61111111111111,-0.896187384915088,-0.868820045094494,-0.412551085916399,-0.36377948811208
"submission",730,"STUDY_315","control","When I was a university student, I struggled with writing notes in one place and accessing them digitally. While tablets exist, these are very expensive and I would often use mine just for writing and nothing else.
I want to introduce a very basic tablet simply just for writing digital notes. This could be used for recording lecture materials, discussions, or equations in labs. This would be different from others as it would have little other functionality than to transfer your notes written with the stylus to your laptop, where you can organise them in your folders.
The display is very minimalistic with few colour options and the notes can be transferred by bluetooth or a desktop app. The reason I propose this is to make something affordable for students that will get its full use. There is no need to feel you have wasted hundreds of pounds on an expensive tablet just for writing, when you can spend much less to get something designed for writing.","Yes",2,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,5,6,5,6,7,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,5,4,90,85,"no","When I was a university student, I struggled with writing notes in one place and accessing them digitally. While tablets exist, these are very expensive and I would often use mine just for writing and neglect the other features.
I want to introduce a very basic tablet simply just for writing digital notes. This could be used for recording lecture materials, discussions, or equations in labs. This would be different from others as it would have little other functionality than to transfer your notes written with the stylus to your laptop, where you can organise them in your personal folders.
The display is very minimalistic with few colour options and the notes can be transferred by bluetooth or a desktop app. The reason I propose this is to make something affordable for students that will get its full use. There is no need to feel you have wasted hundreds of pounds on an expensive tablet just for writing, when you can spend much less to get something designed only for writing.
This would directly assist students like myself who lived on very little money, and could barely afford a tablet. Being able to write my notes like this changed studying for me, and I would love others to be able to try out the same.","2025-11-19T14:30:47.081040",0,NA,NA,NA,230,6,3.33333333333333,NA,87.5,NA,NA,NA,4.33333333333333,5.8,5,7,7,2,6,6,5,2,5,5,5,NA,NA,5,7,6,3,6,6,7,3,7,5,6,NA,NA,2,5,5,1,4,4,5,2,5,1,3,NA,NA,5,5.54545454545455,3.36363636363636,11,"691dd275d7ad1b800cf80adc",679,"25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other",0.344457086682315,0.330386139909834,0.399865292122542,0.341608358712059,0.32381315572186,5.27272727272727,-0.643494251867298,-0.706439126678951,-0.406026422451253,-0.656135022877435
"submission",732,"STUDY_247","generation","A combined lunch box and workstation ","Yes",2,5,2,3,5,5,7,7,7,7,6,5,5,6,7,7,5,7,40,5,6,6,4,4,4,3,2,4,2,2,2,2,3,25,70,"no","The product idea is a modular “Snack Stationery” kit: a customizable bento box that interlocks with a set of compact, essential study tools.

The kit itself acts as an ergonomically sound laptop or tablet holder, with room for a word pad as well. This can niftily come together into a compact unit for easy storage. 

Made from strong materials, this is sure to last your whole student experience.","2025-11-19T14:34:27.848424",0,NA,NA,NA,205,6,4.33333333333333,3.4,47.5,5.66666666666667,7,5.33333333333333,3.16666666666667,6.4,4,1,4,3,4,3,4,4,5,3,4,NA,NA,3,1,2,1,5,4,1,3,1,1,3,NA,NA,2,1,2,1,3,2,1,3,1,1,2,NA,NA,3.54545454545455,2.27272727272727,1.72727272727273,11,"691dd4747fc16092f8ec2eb4",388,"31","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",0.207196331681289,0.207121527229035,0.374585351251768,0.380002652117729,0.290337514006289,2.90909090909091,-1.34190880405911,-1.34236425085775,-0.512595183551169,-0.48953696846749
"submission",733,"STUDY_749","suggestion","Customised where's wally. Make your own where's wally searches with faces of your loved ones","Yes",2,5,2,7,7,2,7,7,7,7,2,2,2,7,7,7,7,7,0,1,1,1,5,5,3,3,1,1,5,1,1,1,1,50,15,"no","Customised where's wally. Make your own where's wally searches with faces of your loved ones.","2025-11-19T14:34:59.625704",0,NA,NA,NA,193,3,5.33333333333333,3.4,32.5,1,7,2,1.33333333333333,7,5,2,5,6,6,2,4,4,1,2,2,NA,NA,1,1,1,4,1,2,1,1,1,1,1,NA,NA,2,1,1,3,4,1,4,1,1,1,1,NA,NA,3.54545454545455,1.36363636363636,1.81818181818182,11,"691dd4c81f27285fdc57c44e",331,"26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",0.688858351207975,0.68224024436618,0.677665719839737,0.68047381490546,0.665309680721206,2.45454545454545,0.794787392981241,0.764086248450434,0.743064983576079,0.755950115215961
"submission",738,"STUDY_748","generation","I would like to generate something that makes sure students meet deadlines ","Yes",2,5,5,5,6,5,7,6,7,7,7,7,6,5,5,7,4,6,71,7,7,7,3,4,4,5,4,5,2,4,5,5,4,25,25,"no","Desk Buddy Deadline Totems – A stackable set of miniature, whimsical totems (e.g., animal mascots, iconic UK motifs) that students assemble on their desk as deadlines approach. Each totem unlocks a different physical task or self-care action when added. This creates a visual progression toward the deadline, encourages desk personalization, and offers a sense of achievement—ideal for students who enjoy desk organization and collectibles.","2025-11-19T14:39:44.937626",0,NA,NA,NA,105,6,5.33333333333333,4,25,7,6.75,6.66666666666667,4.83333333333333,5.4,6,4,6,4,7,3,7,1,2,5,5,6,NA,3,4,6,1,4,2,2,2,1,5,3,4,NA,1,2,4,1,2,2,2,1,1,2,2,3,NA,4.66666666666667,3.08333333333333,1.91666666666667,12,"691dd5bc1d36f1633123a96c",350,"27","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.378360790685377,0.331764813910511,0.584425841486098,0.580039289653557,0.451371379389499,3.875,-0.496511661999292,-0.700213860504435,0.340968819184405,0.322934681920699
"submission",739,"STUDY_749","improvement","A physical calendar that's aimed at students to delegate chores. preventing arguments and mess. ","Yes",2,5,5,4,5,5,7,7,7,7,4,4,4,4,4,6,5,4,50,7,7,7,2,4,3,3,3,4,4,5,3,3,3,25,25,"no","A smart, interactive wall calendar that syncs with students’ phones, uses gamification to assign and track chores, and rewards completion with discounts at local UK businesses—transforming shared living into a fun, organised, and harmonious experience.","2025-11-19T14:49:26.133806",0,NA,NA,NA,147,4,4.66666666666667,3,25,7,7,4,3.66666666666667,4.6,7,5,6,7,2,5,5,5,3,NA,NA,NA,NA,6,4,6,5,3,6,5,3,6,NA,NA,NA,NA,5,1,4,3,3,2,2,3,3,NA,NA,NA,NA,5,4.88888888888889,2.88888888888889,9,"691dd3ac4cf15d14503ba8c4",1475,"32","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0.339661262322207,0.306184520146704,0.447952828009701,0.466520691586914,0.452136606851335,4.94444444444444,-0.664804108565657,-0.818018118748667,-0.208945566880148,-0.134117911124775
"submission",740,"STUDY_842","control","Journal specifically design for the course they are doing.","Yes",2,5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,4,3,55,65,"no","Journal specifically design for the course they are doing. It would include the university map layout and all the relevant rooms to the course highlighted. A timetable. And all specific course details and relevant functional pieces to go along with them to help them with the course. Of course with usual journal things.","2025-11-19T14:54:33.643663",0,NA,NA,NA,251,6,4.33333333333333,NA,60,NA,NA,NA,3.83333333333333,4.8,4,6,4,3,5,6,2,6,NA,NA,NA,NA,NA,5,6,5,2,6,7,5,6,NA,NA,NA,NA,NA,2,4,3,3,4,5,4,4,NA,NA,NA,NA,NA,4.5,5.25,3.625,8,"691dd5ca31344a06ba2a9b4a",1299,"25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)",0.48485815437721,0.48507398751058,0.62409075449802,0.631543413541586,0.473433006929016,4.875,-0.060585908174501,-0.0597217944029536,0.506948051784676,0.538843792949788
"submission",742,"STUDY_820","feedback","A hangover cure bag, can include electrolytes, paracetamol, vitamins and gaviscon. ","Yes",2,5,4,6,7,5,7,7,7,7,7,7,7,6,6,6,5,6,20,7,7,7,2,2,4,2,2,5,5,5,4,4,5,65,50,"no","An examination preparation pack designed to relieve stress and allow all UK university students to unwind at home between revision sessions during exam time, containing wellness and self-care products such as little candles for a bath, as well as mindfulness and meditation practices delivered through flash cards and prompts within the pack.","2025-11-19T15:51:44.896342",0,NA,NA,NA,360,3,6,2.4,57.5,7,7,7,4.33333333333333,5.8,7,3,3,2,2,2,2,3,4,2,NA,NA,NA,7,4,6,1,1,6,2,3,5,5,NA,NA,NA,5,2,2,1,1,3,1,4,4,1,NA,NA,NA,3,4,2.4,10,"691de60aae1c587860996ae8",492,"34","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",0.36916433989891,0.357776689851924,0.570422413624341,0.579214391529365,0.460994845616436,3.5,-0.535803474565591,-0.585027057919898,0.283574794308336,0.319549227580389
"submission",743,"STUDY_243","feedback","I think students would like some smart glasses that could record lectures without any problem","Yes",2,5,5,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,19,6,6,7,2,2,3,3,2,4,2,4,4,4,5,50,35,"no","A small chip that fits into existing glasses, allowing students to record lectures hands-free and from their own perspective, solving the inconvenience of having to hold or position a phone or laptop to capture the lecture, especially in lecture halls and seminars. Particularly useful for neurodiverse students who may benefit from reviewing recorded material. Recordings are accessed via a connected app on the student's phone.","2025-11-19T15:54:17.830868",0,NA,NA,NA,435,6,6.66666666666667,2.4,42.5,6.33333333333333,7,7,4.5,6.8,6,7,5,5,6,7,4,6,7,5,3,NA,NA,7,7,4,4,6,6,3,6,6,5,4,NA,NA,4,3,2,4,4,4,1,4,4,3,3,NA,NA,5.54545454545455,5.27272727272727,3.27272727272727,11,"691de60947ce7ba33c28aa64",647,"51","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other",0.385104082257122,0.370967517967162,0.498548098734577,0.512912387581036,0.418008872047702,5.40909090909091,-0.467939372764884,-0.528068389993513,-0.0058076213851493,0.0516610369432397
